offset_gmt,offset_tzab,country_name,timezone_id
-5,EST,Eastern Standard Time (North America)
+10:30,ACDT,Australian Central Daylight Savings Time
+09:30,ACST,Australian Central Standard Time
-5,ACT,Acre Time
+06:30 - +09,ACT,ASEAN Common Time
-3,ADT,Atlantic Daylight Time
11,AEDT,Australian Eastern Daylight Savings Time
10,AEST,Australian Eastern Standard Time
+04:30,AFT,Afghanistan Time
-8,AKDT,Alaska Daylight Time
-9,AKST,Alaska Standard Time
-3,AMST,Amazon Summer Time (Brazil)[1]
-4,AMT,Amazon Time (Brazil)[2]
4,AMT,Armenia Time
-3,ART,Argentina Time
3,AST,Arabia Standard Time
-4,AST,Atlantic Standard Time
8,AWST,Australian Western Standard Time
0,AZOST,Azores Summer Time
-1,AZOT,Azores Standard Time
4,AZT,Azerbaijan Time
8,BDT,Brunei Time
6,BIOT,British Indian Ocean Time
-12,BIT,Baker Island Time
-4,BOT,Bolivia Time
-2,BRST,Brasilia Summer Time
-3,BRT,Brasilia Time
6,BST,Bangladesh Standard Time
11,BST,Bougainville Standard Time[3]
1,BST,British Summer Time (British Standard Time from Feb 1968 to Oct 1971)
6,BTT,Bhutan Time
2,CAT,Central Africa Time
+06:30,CCT,Cocos Islands Time
-5,CDT,Central Daylight Time (North America)
-4,CDT,Cuba Daylight Time[4]
2,CEST,Central European Summer Time (Cf. HAEC)
1,CET,Central European Time
+13:45,CHADT,Chatham Daylight Time
+12:45,CHAST,Chatham Standard Time
8,CHOT,Choibalsan Standard Time
9,CHOST,Choibalsan Summer Time
10,CHST,Chamorro Standard Time
10,CHUT,Chuuk Time
-8,CIST,Clipperton Island Standard Time
8,CIT,Central Indonesia Time
-10,CKT,Cook Island Time
-3,CLST,Chile Summer Time
-4,CLT,Chile Standard Time
-4,COST,Colombia Summer Time
-5,COT,Colombia Time
-6,CST,Central Standard Time (North America)
8,CST,China Standard Time
+09:30,ACST,Central Standard Time (Australia)
+10:30,ACDT,Central Summer Time (Australia)
-5,CST,Cuba Standard Time
8,CT,China time
-1,CVT,Cape Verde Time
+08:45,CWST,Central Western Standard Time (Australia) unofficial
7,CXT,Christmas Island Time
7,DAVT,Davis Time
10,DDUT,Dumont d'Urville Time
1,DFT,AIX specific equivalent of Central European Time[5]
-5,EASST,Easter Island Summer Time
-6,EAST,Easter Island Standard Time
3,EAT,East Africa Time
-4,ECT,Eastern Caribbean Time (does not recognise DST)
-5,ECT,Ecuador Time
-4,EDT,Eastern Daylight Time (North America)
11,AEDT,Eastern Summer Time (Australia)
3,EEST,Eastern European Summer Time
2,EET,Eastern European Time
0,EGST,Eastern Greenland Summer Time
-1,EGT,Eastern Greenland Time
9,EIT,Eastern Indonesian Time
10,AEST,Eastern Standard Time (Australia)
3,FET,Further-eastern European Time
12,FJT,Fiji Time
-3,FKST,Falkland Islands Summer Time
-4,FKT,Falkland Islands Time
-2,FNT,Fernando de Noronha Time
-6,GALT,Galapagos Time
-9,GAMT,Gambier Islands
4,GET,Georgia Standard Time
-3,GFT,French Guiana Time
12,GILT,Gilbert Island Time
-9,GIT,Gambier Island Time
0,GMT,Greenwich Mean Time
-2,GST,South Georgia and the South Sandwich Islands
4,GST,Gulf Standard Time
-4,GYT,Guyana Time
-9,HADT,Hawaii-Aleutian Daylight Time
2,HAEC,Heure Avancée d'Europe Centrale francised name for CEST
-10,HAST,Hawaii-Aleutian Standard Time
8,HKT,Hong Kong Time
5,HMT,Heard and McDonald Islands Time
8,HOVST,Khovd Summer Time
7,HOVT,Khovd Standard Time
7,ICT,Indochina Time
3,IDT,Israel Daylight Time
3,IOT,Indian Ocean Time
+04:30,IRDT,Iran Daylight Time
8,IRKT,Irkutsk Time
+03:30,IRST,Iran Standard Time
+05:30,IST,Indian Standard Time
1,IST,Irish Standard Time[6]
2,IST,Israel Standard Time
9,JST,Japan Standard Time
6,KGT,Kyrgyzstan time
11,KOST,Kosrae Time
7,KRAT,Krasnoyarsk Time
9,KST,Korea Standard Time
+10:30,LHST,Lord Howe Standard Time
11,LHST,Lord Howe Summer Time
14,LINT,Line Islands Time
12,MAGT,Magadan Time
-9:30,MART,Marquesas Islands Time
5,MAWT,Mawson Station Time
-6,MDT,Mountain Daylight Time (North America)
1,MET,Middle European Time Same zone as CET
2,MEST,Middle European Summer Time Same zone as CEST
12,MHT,Marshall Islands
11,MIST,Macquarie Island Station Time
-9:30,MIT,Marquesas Islands Time
+06:30,MMT,Myanmar Standard Time
3,MSK,Moscow Time
8,MST,Malaysia Standard Time
-7,MST,Mountain Standard Time (North America)
4,MUT,Mauritius Time
5,MVT,Maldives Time
8,MYT,Malaysia Time
11,NCT,New Caledonia Time
-2:30,NDT,Newfoundland Daylight Time
11,NFT,Norfolk Time
+05:45,NPT,Nepal Time
-3:30,NST,Newfoundland Standard Time
-3:30,NT,Newfoundland Time
-11,NUT,Niue Time
13,NZDT,New Zealand Daylight Time
12,NZST,New Zealand Standard Time
6,OMST,Omsk Time
5,ORAT,Oral Time
-7,PDT,Pacific Daylight Time (North America)
-5,PET,Peru Time
12,PETT,Kamchatka Time
10,PGT,Papua New Guinea Time
13,PHOT,Phoenix Island Time
8,PHT,Philippine Time
5,PKT,Pakistan Standard Time
-2,PMDT,Saint Pierre and Miquelon Daylight time
-3,PMST,Saint Pierre and Miquelon Standard Time
11,PONT,Pohnpei Standard Time
-8,PST,Pacific Standard Time (North America)
8,PST,Philippine Standard Time
-3,PYST,Paraguay Summer Time (South America)[7]
-4,PYT,Paraguay Time (South America)[8]
4,RET,Réunion Time
-3,ROTT,Rothera Research Station Time
11,SAKT,Sakhalin Island time
4,SAMT,Samara Time
2,SAST,South African Standard Time
11,SBT,Solomon Islands Time
4,SCT,Seychelles Time
8,SGT,Singapore Time
+05:30,SLST,Sri Lanka Standard Time
11,SRET,Srednekolymsk Time
-3,SRT,Suriname Time
-11,SST,Samoa Standard Time
8,SST,Singapore Standard Time
3,SYOT,Showa Station Time
-10,TAHT,Tahiti Time
7,THA,Thailand Standard Time
5,TFT,Indian/Kerguelen
5,TJT,Tajikistan Time
13,TKT,Tokelau Time
9,TLT,Timor Leste Time
5,TMT,Turkmenistan Time
3,TRT,Turkey Time
13,TOT,Tonga Time
12,TVT,Tuvalu Time
9,ULAST,Ulaanbaatar Summer Time
8,ULAT,Ulaanbaatar Standard Time
2,USZ1,Kaliningrad Time
0,,Coordinated Universal Time
-2,UYST,Uruguay Summer Time
-3,UYT,Uruguay Standard Time
5,UZT,Uzbekistan Time
-4,VET,Venezuelan Standard Time
10,VLAT,Vladivostok Time
4,VOLT,Volgograd Time
6,VOST,Vostok Station Time
11,VUT,Vanuatu Time
12,WAKT,Wake Island Time
2,WAST,West Africa Summer Time
1,WAT,West Africa Time
1,WEST,Western European Summer Time
0,WET,Western European Time
7,WIT,Western Indonesian Time
8,WST,Western Standard Time
9,YAKT,Yakutsk Time
5,YEKT,Yekaterinburg Time

